draw\t_v,12,13,15,16,17,18,19,20,21,22,23
"if i = 2, Y10(t_v) = I(8 ≤ r_2)Y10(t_v)",1,1,1,1,1,1,1,1,1,1,1
"if i = 2, Y10(t_v)",1,1,1,1,1,1,1,1,1,1,1
"if i = 3, Y10(t_v) = I(8 ≤ r_3)Y10(t_v)",1,1,1,1,1,1,1,1,1,1,1
"if i = 3, Y10(t_v)",1,1,1,1,1,1,1,1,1,1,1
"if i = 4, Y10(t_v) = I(8 ≤ r_4)Y10(t_v)",1,1,1,1,1,1,1,1,1,1,1
"if i = 4, Y10(t_v)",1,1,1,1,1,1,1,1,1,1,1
"if i = 5, Y10(t_v) = I(8 ≤ r_5)Y10(t_v)",0,1,1,1,1,1,1,1,1,1,1
"if i = 5, Y10(t_v)",0,1,1,1,1,1,1,1,1,1,1
"if i = 6, Y10(t_v) = I(8 ≤ r_6)Y10(t_v)",0,0,1,1,1,1,1,1,1,1,1
"if i = 6, Y10(t_v)",0,0,1,1,1,1,1,1,1,1,1
"if i = 7, Y10(t_v) = I(8 ≤ r_7)Y10(t_v)",0,0,0,1,1,1,1,1,1,1,1
"if i = 7, Y10(t_v)",0,0,0,1,1,1,1,1,1,1,1
