run,U8
1,-4.204217524119798
2,-4.218818463086935
3,-4.274893025291066
4,-3.475714799774271
5,-3.7884809817204363
6,-4.185075297074075
7,-4.254444390845471
8,-3.828543126312198
9,-3.86570614962429
10,-3.484054168930731
11,-3.800403535150796
12,-4.261052306235227
13,-3.4658699229759016
14,-4.2568879971928695
15,-3.8033824294989307
16,-4.213829859242118
17,-3.0867976877002903
18,-3.4618538587188734
19,-4.225905938908522
20,-3.1324087629447925
21,-4.21069133110359
22,-3.821817255508475
23,-3.1088608822540547
24,-3.785042210222792
25,-3.870870984789125
26,-3.8394126915295894
27,-3.8552713965956116
28,-4.204217524119798
29,-4.182061499724398
30,-3.814868161366456
31,-3.4693121325632745
32,-3.4625341308277173
33,-3.7423586743391626
34,-3.5146072906035357
35,-3.1579459781305372
36,-3.4275215789434528
37,-3.8458131852794812
38,-3.807899520251474
39,-3.800119167868
40,-3.852523187114934
41,-3.4804849731364715
42,-3.478309815137827
43,-3.118356239974955
44,-3.86128337403857
45,-3.4113014391694936
46,-3.056436798963615
47,-4.207607567477657
48,-3.8074438220355695
49,-3.076646287072699
50,-4.228019511610331
51,-3.7967298930717153
52,-3.4072011668603377
53,-3.817155424986608
54,-3.8388004466316303
55,-3.870586617506329
56,-4.207924065262528
57,-3.8459925748700368
58,-3.793203592748471
59,-3.855654410618829
60,-4.204410636531366
61,-4.22288783025661
62,-3.4433523793487213
63,-3.874492715171419
64,-4.210891275639414
65,-3.3944115800815737
66,-3.3988617977038773
67,-3.828543126312198
68,-3.4507427476077623
69,-3.4502381383471565
70,-3.8406327444740596
71,-3.868280143077093
72,-4.160141015862299
73,-3.8319854671039364
74,-4.213015573460018
75,-3.8040773821178897
76,-3.828315115001529
77,-3.8657611644711576
78,-3.139426470873399
79,-4.228365143235234
80,-3.8217404052237622
81,-3.4513311027529765
82,-4.200203127663542
83,-4.201344595491117
84,-3.86128337403857
85,-3.419280162573749
86,-3.0468599935359117
87,-3.828543126312198
88,-4.201344595491117
89,-3.8426321945733397
90,-4.219051678133191
91,-3.8985817611612044
92,-3.8305727919333874
93,-3.098918899821502
94,-4.161928394266857
95,-4.2431844941231684
96,-3.8179040880882127
97,-3.1137595541690626
98,-4.210632928295826
99,-3.438282221228536
100,-4.256160695876012
mean,-3.7864359966108667
