"","l","r","w","z","p"
"1",5,7,23,1000,0.0436562045378837
"2",5,7,13,13,0.0208333333323127
"3",3,7,17,17,0.0104166666666657
"4",1,7,16,16,0.0104166666666657
"5",5,7,11,12,0.0208333333323127
"6",7,9,19,19,0.0104166666666657
"7",8,9,23,1000,0.0234939401433594
"8",9,10,23,1000,0.0638692169999026
"9",9,10,15,15,0.0156249999999337
"10",10,11,23,1000,0.164927467124382
"11",10,11,15,16,0.03125
"12",9,11,17,18,0.03125
"13",10,11,14,15,0.0156249999999337
"14",10,12,16,17,0.0104166666666657
"15",11,12,23,1000,0.0378657704745419
"16",9,12,22,22,0.0104166666666657
"17",10,12,23,23,0.0104166666666657
"18",12,13,23,1000,0.168183743756614
"19",12,13,20,20,0.0104166666666657
"20",13,14,17,18,0.03125
"21",13,14,20,21,0.0208333333323127
"22",13,14,19,20,0.0104166666666657
"23",14,15,23,1000,0.154848027396333
"24",14,15,23,23,0.0104166666666657
"25",15,16,23,1000,0.0619056295660781
