L,R,W,Z
1,7,23,1000
1,13,23,1000
1,15,23,1000
1,15,23,1000
3,14,23,1000
7,10,23,1000
8,15,23,1000
10,11,23,1000
10,11,23,1000
10,11,23,1000
10,11,23,1000
10,15,23,1000
11,13,23,1000
11,13,23,1000
11,13,23,1000
12,14,23,1000
13,15,23,1000
14,15,23,1000
14,15,23,1000
14,15,23,1000
14,15,23,1000
14,15,23,1000
14,15,23,1000
15,16,23,1000
1,11,23,1000
1,13,23,1000
5,7,23,1000
3,15,23,1000
7,15,23,1000
9,10,23,1000
9,10,23,1000
10,11,23,1000
10,11,23,1000
10,11,23,1000
11,12,23,1000
12,13,23,1000
12,13,23,1000
12,13,23,1000
12,13,23,1000
12,13,23,1000
12,13,23,1000
12,14,23,1000
13,16,23,1000
14,16,23,1000
14,16,23,1000
1,16,23,1000
1,12,23,1000
1,12,23,1000
1,14,23,1000
1,14,23,1000
1,14,23,1000
5,7,23,1000
7,9,23,1000
8,10,23,1000
9,12,23,1000
9,12,23,1000
9,12,23,1000
10,12,23,1000
10,12,23,1000
11,13,23,1000
12,13,23,1000
13,15,23,1000
13,15,23,1000
14,15,23,1000
14,15,23,1000
15,16,23,1000
15,16,23,1000
15,16,23,1000
15,16,23,1000
