OR,rect_idx,unconditional_prob,conditional_cumprob,total_prob
"(1, 11]",1,0.0437,0.147635,0.296
"(1, 11]",2,0.0235,0.227027,0.296
"(1, 11]",3,0.0639,0.442905,0.296
"(1, 11]",4,0.1649,1.0,0.296
"(1, 12]",1,0.0437,0.130878,0.3339
"(1, 12]",2,0.0235,0.201258,0.3339
"(1, 12]",3,0.0639,0.392633,0.3339
"(1, 12]",4,0.1649,0.886493,0.3339
"(1, 12]",5,0.0379,1.0,0.3339
"(1, 13]",1,0.0437,0.087034,0.5021
"(1, 13]",2,0.0235,0.133838,0.5021
"(1, 13]",3,0.0639,0.261103,0.5021
"(1, 13]",4,0.1649,0.589524,0.5021
"(1, 13]",5,0.0379,0.665007,0.5021
"(1, 13]",6,0.1682,1.0,0.5021
"(1, 14]",1,0.0437,0.087034,0.5021
"(1, 14]",2,0.0235,0.133838,0.5021
"(1, 14]",3,0.0639,0.261103,0.5021
"(1, 14]",4,0.1649,0.589524,0.5021
"(1, 14]",5,0.0379,0.665007,0.5021
"(1, 14]",6,0.1682,1.0,0.5021
"(1, 15]",1,0.0437,0.066525,0.6568999999999999
"(1, 15]",2,0.0235,0.102299,0.6568999999999999
"(1, 15]",3,0.0639,0.199574,0.6568999999999999
"(1, 15]",4,0.1649,0.450601,0.6568999999999999
"(1, 15]",5,0.0379,0.508297,0.6568999999999999
"(1, 15]",6,0.1682,0.764348,0.6568999999999999
"(1, 15]",7,0.1548,1.0,0.6568999999999999
"(1, 16]",1,0.0437,0.060796,0.7188
"(1, 16]",2,0.0235,0.093489,0.7188
"(1, 16]",3,0.0639,0.182387,0.7188
"(1, 16]",4,0.1649,0.411797,0.7188
"(1, 16]",5,0.0379,0.464524,0.7188
"(1, 16]",6,0.1682,0.698525,0.7188
"(1, 16]",7,0.1548,0.913884,0.7188
"(1, 16]",8,0.0619,1.0,0.7188
"(3, 14]",1,0.0437,0.087034,0.5021
"(3, 14]",2,0.0235,0.133838,0.5021
"(3, 14]",3,0.0639,0.261103,0.5021
"(3, 14]",4,0.1649,0.589524,0.5021
"(3, 14]",5,0.0379,0.665007,0.5021
"(3, 14]",6,0.1682,1.0,0.5021
"(3, 15]",1,0.0437,0.066525,0.6568999999999999
"(3, 15]",2,0.0235,0.102299,0.6568999999999999
"(3, 15]",3,0.0639,0.199574,0.6568999999999999
"(3, 15]",4,0.1649,0.450601,0.6568999999999999
"(3, 15]",5,0.0379,0.508297,0.6568999999999999
"(3, 15]",6,0.1682,0.764348,0.6568999999999999
"(3, 15]",7,0.1548,1.0,0.6568999999999999
"(7, 10]",1,0.0235,0.268879,0.0874
"(7, 10]",2,0.0639,1.0,0.0874
"(7, 15]",1,0.0235,0.038324,0.6132
"(7, 15]",2,0.0639,0.142531,0.6132
"(7, 15]",3,0.1649,0.411448,0.6132
"(7, 15]",4,0.0379,0.473255,0.6132
"(7, 15]",5,0.1682,0.747554,0.6132
"(7, 15]",6,0.1548,1.0,0.6132
"(8, 10]",1,0.0235,0.268879,0.0874
"(8, 10]",2,0.0639,1.0,0.0874
"(8, 15]",1,0.0235,0.038324,0.6132
"(8, 15]",2,0.0639,0.142531,0.6132
"(8, 15]",3,0.1649,0.411448,0.6132
"(8, 15]",4,0.0379,0.473255,0.6132
"(8, 15]",5,0.1682,0.747554,0.6132
"(8, 15]",6,0.1548,1.0,0.6132
"(9, 12]",1,0.0639,0.239595,0.2667
"(9, 12]",2,0.1649,0.857893,0.2667
"(9, 12]",3,0.0379,1.0,0.2667
"(10, 12]",1,0.1649,0.813116,0.2027999999999999
"(10, 12]",2,0.0379,1.0,0.2027999999999999
"(10, 15]",1,0.1649,0.313617,0.5257999999999999
"(10, 15]",2,0.0379,0.385698,0.5257999999999999
"(10, 15]",3,0.1682,0.705591,0.5257999999999999
"(10, 15]",4,0.1548,1.0,0.5257999999999999
"(11, 13]",1,0.0379,0.183891,0.2061
"(11, 13]",2,0.1682,1.0,0.2061
"(13, 16]",1,0.1548,0.714352,0.2167
"(13, 16]",2,0.0619,1.0,0.2167
"(14, 16]",1,0.1548,0.714352,0.2167
"(14, 16]",2,0.0619,1.0,0.2167
